student_id,age,gender,major,GPA,course_load,avg_course_grade,attendance_rate,enrollment_status,lms_logins_past_month,avg_session_duration_minutes,assignment_submission_rate,forum_participation_count,video_completion_rate,risk_level
S031,22,Male,Engineering,3.44,3,67.8,0.62,Leave,29,67,0.85,19,1.0,High
S032,18,Other,Business,2.8,6,66.6,0.74,Leave,7,88,1.0,17,0.55,High
S033,21,Other,Computer Science,2.32,6,96.7,0.71,Active,20,64,0.66,0,0.93,High
S034,19,Male,Computer Science,3.76,4,73.1,0.87,Graduated,21,35,0.76,3,0.74,Low
S035,23,Male,Business,3.65,4,74.9,0.98,Leave,17,34,0.94,10,0.91,Low
S036,22,Other,Business,3.44,5,90.4,0.71,Leave,1,86,0.68,19,0.91,High
S037,21,Female,Arts,2.54,5,73.6,0.92,Active,8,42,0.55,8,0.96,Medium
S038,18,Male,Arts,2.8,6,98.1,0.62,Leave,2,81,0.97,7,0.65,High
S039,18,Other,Arts,2.21,3,89.5,0.82,Leave,25,78,0.74,7,0.97,High
S040,20,Female,Business,2.38,5,83.9,0.63,Graduated,20,15,0.75,4,0.58,High
S041,20,Male,Business,3.57,6,95.2,0.97,Graduated,29,32,0.81,11,0.54,Low
S042,24,Female,Engineering,3.43,5,62.0,0.91,Graduated,27,39,0.5,0,0.72,Low
S043,19,Other,Arts,3.19,3,70.3,0.86,Active,35,87,0.97,14,0.91,Low
S044,25,Male,Arts,3.79,6,78.6,0.93,Leave,25,63,0.68,17,0.74,Low
S045,21,Female,Arts,3.17,3,69.1,0.86,Active,33,20,0.7,5,0.91,Low
S046,21,Male,Computer Science,2.93,6,89.8,0.99,Leave,7,40,0.59,9,0.86,Medium
S047,25,Female,Engineering,2.68,5,96.8,0.89,Leave,9,15,0.69,13,0.6,Medium
S048,24,Other,Arts,3.88,4,77.0,0.97,Leave,13,20,0.9,7,0.97,Low
S049,23,Other,Arts,2.17,5,73.7,0.81,Graduated,39,86,0.9,2,0.53,High
S050,23,Male,Arts,3.86,5,98.5,0.65,Active,14,21,0.97,18,0.95,High
S051,24,Female,Computer Science,3.65,4,77.8,0.81,Active,16,75,0.7,11,0.65,Medium
S052,23,Male,Computer Science,2.26,4,79.6,0.65,Leave,17,62,0.85,11,0.75,High
S053,20,Male,Business,3.13,6,74.1,0.84,Active,31,45,0.75,14,0.71,Medium
S054,21,Female,Engineering,3.73,6,96.4,0.79,Graduated,37,26,0.9,6,0.59,Medium
S055,24,Female,Business,3.14,3,82.8,0.85,Active,22,37,0.86,3,0.68,Low
S056,21,Female,Engineering,3.81,3,90.5,0.6,Leave,22,31,0.68,8,0.6,High
S057,25,Other,Computer Science,3.89,5,92.5,0.68,Graduated,34,16,0.67,15,0.6,High
S058,18,Male,Arts,2.84,4,73.7,0.8,Graduated,38,24,0.63,12,0.59,Medium
S059,20,Male,Business,2.75,3,77.3,0.98,Leave,14,20,0.79,3,0.74,Medium
S060,22,Other,Arts,3.87,5,93.9,0.75,Active,23,33,0.98,8,0.9,Medium
S061,20,Female,Business,3.35,4,74.5,0.77,Leave,27,76,0.6,17,0.78,Medium
S062,24,Other,Computer Science,2.23,6,91.8,0.89,Active,15,39,0.55,14,0.95,High
S063,22,Other,Computer Science,2.08,5,97.6,0.84,Active,15,79,0.56,14,0.82,High
S064,18,Other,Computer Science,3.13,6,84.9,0.72,Graduated,39,75,0.89,5,0.84,High
S065,24,Male,Business,3.86,3,89.7,0.76,Leave,38,70,0.68,10,0.83,Medium
S066,19,Other,Engineering,3.69,3,92.2,0.69,Graduated,5,87,0.61,7,0.72,High
S067,21,Male,Business,3.35,4,93.8,0.99,Leave,1,50,0.68,16,0.84,Low
S068,18,Male,Engineering,2.28,5,75.8,0.65,Leave,12,60,0.82,16,0.53,High
S069,21,Male,Business,2.51,6,62.1,0.75,Graduated,8,53,0.77,17,0.93,Medium
S070,23,Female,Business,3.75,4,76.1,0.61,Leave,33,22,0.87,3,0.89,High
S071,19,Male,Computer Science,2.37,3,87.0,0.69,Leave,16,21,0.67,14,0.62,High
S072,19,Male,Arts,2.56,3,78.0,0.91,Active,26,18,0.73,1,0.88,Medium
S073,18,Female,Arts,2.26,5,90.0,0.68,Leave,28,57,0.55,1,0.51,High
S074,19,Male,Engineering,3.35,6,74.3,0.63,Leave,36,58,0.54,9,0.61,High
S075,22,Other,Arts,3.89,5,85.4,0.79,Graduated,21,62,0.73,2,0.53,Medium
S076,19,Other,Business,2.54,6,67.5,0.6,Graduated,23,65,0.65,7,0.89,High
S077,21,Male,Business,2.95,6,90.0,0.63,Leave,6,49,0.81,19,0.88,High
S078,21,Female,Computer Science,3.27,5,81.8,0.92,Active,33,33,0.52,6,0.91,Low
S079,24,Other,Computer Science,4.0,4,68.2,0.91,Active,11,81,0.56,11,0.5,Low
S080,21,Female,Arts,2.21,5,71.7,0.97,Graduated,22,42,0.93,18,0.75,High
S081,24,Female,Engineering,3.0,5,89.9,0.94,Leave,14,32,0.78,14,0.85,Low
S082,21,Other,Arts,2.77,3,79.3,0.87,Leave,32,86,0.86,13,0.58,Medium
S083,22,Female,Arts,3.73,3,68.6,0.62,Active,12,63,0.92,15,0.82,High
S084,25,Other,Arts,2.95,5,98.7,0.91,Active,22,62,0.73,13,0.54,Medium
S085,24,Female,Arts,2.22,5,88.6,0.94,Active,37,58,0.88,2,0.59,High
S086,20,Other,Business,3.27,3,98.3,0.92,Graduated,31,87,0.76,17,0.74,Low
S087,23,Male,Engineering,3.54,6,77.1,0.8,Leave,34,87,0.61,5,0.83,Medium
S088,18,Other,Business,2.01,5,79.0,0.69,Graduated,0,89,0.67,16,0.57,High
S089,21,Other,Engineering,3.72,4,95.9,0.94,Leave,4,58,0.75,13,0.59,Low
S090,19,Other,Computer Science,2.37,4,81.0,0.89,Graduated,12,69,0.66,13,0.6,High
S091,25,Other,Arts,3.1,4,88.3,0.99,Leave,4,74,0.67,19,0.62,Low
S092,21,Female,Business,2.83,5,70.1,0.66,Active,31,41,0.67,12,0.61,High
S093,19,Male,Engineering,3.44,6,77.9,0.69,Active,20,88,0.56,2,0.7,High
S094,23,Other,Computer Science,2.74,6,64.9,0.68,Active,23,30,0.54,12,0.83,High
S095,23,Female,Computer Science,3.74,3,68.2,0.92,Graduated,17,27,0.52,1,0.72,Low
S096,23,Male,Arts,3.46,5,60.0,0.67,Active,20,69,0.56,8,0.89,High
S097,19,Male,Engineering,3.3,6,61.6,0.63,Leave,9,22,0.67,12,0.86,High
S098,21,Male,Business,3.59,5,99.1,1.0,Graduated,23,33,0.8,7,0.56,Low
S099,23,Male,Arts,3.51,3,69.7,0.61,Leave,39,39,0.59,15,0.52,High
S100,22,Other,Business,2.07,3,86.5,0.93,Graduated,20,11,0.94,2,0.94,High
S101,24,Other,Computer Science,2.79,3,93.6,0.75,Leave,24,34,0.9,12,0.54,Medium
S102,19,Female,Business,3.86,4,82.0,0.94,Leave,22,59,0.76,3,0.57,Low
S103,19,Female,Business,2.25,5,66.1,0.82,Graduated,21,23,0.86,17,0.51,High
S104,21,Female,Arts,3.47,3,89.1,0.96,Graduated,3,15,0.68,1,0.81,Low
S105,19,Male,Business,3.95,5,84.0,0.97,Active,33,85,0.52,19,0.79,Low
S106,19,Male,Arts,2.1,4,89.3,0.6,Active,5,39,0.95,14,0.99,High
S107,23,Other,Computer Science,3.36,4,90.8,0.63,Leave,27,39,0.56,16,0.94,High
S108,21,Male,Arts,2.94,3,99.0,0.7,Leave,30,47,0.97,9,0.71,High
S109,23,Male,Arts,3.16,3,82.9,0.87,Leave,34,67,0.79,0,0.69,Low
S110,24,Male,Engineering,2.17,6,73.7,0.96,Graduated,38,50,0.65,5,0.65,High
S111,25,Female,Business,2.09,5,85.9,0.78,Graduated,22,66,0.75,2,0.58,High
S112,24,Female,Computer Science,3.33,3,62.7,0.84,Active,5,45,0.75,18,0.57,Medium
S113,25,Other,Arts,3.65,6,95.9,0.68,Leave,15,73,0.51,6,0.57,High
S114,23,Male,Computer Science,3.56,5,64.8,0.92,Active,1,25,0.68,12,0.56,Low
S115,24,Male,Engineering,3.09,3,73.1,0.99,Graduated,23,87,0.87,12,0.62,Low
S116,21,Other,Business,2.2,6,92.6,0.71,Graduated,16,81,0.76,16,0.65,High
S117,18,Male,Arts,3.38,6,83.9,0.8,Graduated,0,23,0.62,0,0.98,Medium
S118,23,Male,Business,2.48,5,75.7,0.63,Active,5,40,0.67,13,0.79,High
S119,25,Female,Engineering,3.82,6,78.9,0.82,Graduated,4,75,0.93,2,0.99,Medium
S120,22,Other,Engineering,3.68,5,94.2,0.8,Leave,28,77,0.76,13,0.69,Medium
S121,25,Other,Computer Science,3.42,5,73.6,0.66,Active,11,74,0.76,0,0.73,High
S122,22,Other,Arts,3.9,5,94.8,0.78,Graduated,38,64,0.98,15,0.66,Medium
S123,19,Other,Computer Science,2.06,4,63.5,0.73,Active,2,87,0.66,9,0.59,High
S124,24,Female,Engineering,3.47,6,91.1,0.81,Active,0,49,0.74,12,0.57,Medium
S125,22,Female,Business,2.66,5,93.9,0.83,Graduated,26,34,0.91,3,0.97,Medium
S126,25,Male,Computer Science,3.81,3,67.3,0.6,Graduated,23,34,0.88,8,0.99,High
S127,19,Male,Computer Science,2.53,4,77.2,0.9,Active,18,12,0.63,13,0.52,Medium
S128,18,Male,Business,3.45,4,66.6,0.89,Active,7,78,0.58,3,0.58,Low
S129,21,Male,Computer Science,3.76,6,88.3,0.75,Graduated,1,35,0.85,9,0.71,Medium
S130,21,Female,Business,2.08,5,81.4,0.62,Leave,29,49,0.63,7,0.59,High
S131,21,Other,Arts,2.8,6,85.4,0.9,Active,29,47,0.96,2,0.68,Medium
S132,22,Female,Business,3.52,4,67.9,0.98,Active,38,47,0.56,6,0.56,Low
S133,18,Male,Arts,2.91,5,68.5,0.7,Leave,31,77,0.66,9,0.73,High
S134,22,Female,Business,2.53,3,61.7,0.73,Graduated,0,16,0.53,2,0.64,High
S135,24,Other,Engineering,2.44,5,72.9,0.67,Graduated,37,39,0.85,1,0.68,High
S136,22,Other,Engineering,2.26,4,82.4,0.83,Leave,12,28,0.95,14,0.55,High
S137,18,Female,Arts,3.71,3,94.3,0.66,Graduated,10,44,0.82,8,0.71,High
S138,18,Female,Arts,3.15,5,86.7,0.74,Graduated,9,42,0.97,14,0.99,High
S139,24,Female,Engineering,2.15,3,77.4,0.88,Active,25,42,0.56,16,0.66,High
S140,18,Male,Arts,2.77,3,98.1,0.82,Active,19,87,0.54,6,0.94,Medium
S141,25,Female,Business,2.74,4,88.8,0.75,Active,16,47,0.92,19,0.92,Medium
S142,18,Female,Business,2.36,3,97.2,0.77,Leave,16,19,0.93,17,0.98,High
S143,21,Female,Engineering,2.87,6,81.1,0.82,Graduated,3,66,0.92,14,0.9,Medium
S144,25,Other,Computer Science,2.66,4,70.4,0.6,Graduated,4,37,0.9,17,0.83,High
S145,25,Other,Business,2.68,6,62.1,0.63,Active,22,87,0.68,11,0.93,High
S146,24,Male,Arts,3.48,3,89.0,0.95,Active,9,47,0.61,7,0.54,Low
S147,20,Male,Computer Science,2.45,6,64.9,0.63,Leave,27,25,0.96,1,0.73,High
S148,20,Other,Computer Science,3.28,5,72.1,0.88,Graduated,32,30,0.65,1,0.99,Low
S149,18,Other,Business,3.14,3,81.3,0.97,Leave,25,15,0.7,4,0.88,Low
S150,25,Other,Business,3.14,5,82.6,0.71,Graduated,28,50,0.85,0,0.98,High
S151,20,Female,Computer Science,3.33,6,84.0,0.75,Leave,26,24,0.65,3,0.89,Medium
S152,20,Female,Computer Science,3.1,5,66.7,0.83,Active,17,12,0.91,5,0.94,Medium
S153,18,Other,Engineering,3.76,3,75.2,0.95,Leave,39,52,0.54,12,0.85,Low
S154,20,Female,Arts,3.35,5,84.7,0.98,Leave,9,56,0.9,18,0.88,Low
S155,22,Female,Engineering,3.09,6,98.8,0.9,Active,4,23,0.8,10,0.76,Low
S156,19,Male,Business,3.66,6,89.1,0.63,Graduated,9,75,0.79,12,0.96,High
S157,24,Other,Engineering,3.21,6,96.9,0.87,Graduated,20,38,0.73,7,0.91,Low
S158,19,Other,Engineering,2.58,3,90.5,0.76,Active,23,13,0.64,6,0.92,Medium
S159,18,Female,Engineering,2.41,6,83.7,0.79,Leave,37,35,0.73,12,0.84,High
S160,21,Other,Engineering,2.3,3,67.7,0.62,Leave,2,21,0.73,0,0.65,High
S161,24,Male,Arts,3.8,5,86.7,0.68,Leave,39,11,0.79,5,0.52,High
S162,18,Male,Arts,3.42,6,84.9,0.92,Graduated,30,26,0.64,6,0.97,Low
S163,25,Male,Computer Science,3.87,5,84.1,0.78,Leave,36,44,0.54,15,0.79,Medium
S164,21,Other,Business,3.21,4,79.6,0.72,Graduated,1,19,0.57,14,0.65,High
S165,19,Other,Engineering,2.95,5,81.1,0.75,Leave,1,52,0.85,19,0.57,Medium
S166,18,Other,Computer Science,2.12,4,73.4,0.94,Active,38,30,0.51,1,0.91,High
S167,25,Other,Computer Science,3.34,5,80.8,0.9,Active,33,24,0.93,15,0.92,Low
S168,24,Other,Computer Science,3.16,3,67.9,0.71,Graduated,19,44,0.85,16,0.91,High
S169,24,Male,Arts,3.98,5,92.2,0.65,Graduated,32,69,0.88,14,0.82,High
S170,23,Female,Engineering,2.48,3,67.4,0.7,Active,3,53,0.92,2,0.68,High
S171,25,Male,Engineering,3.06,3,63.4,0.97,Active,10,14,0.56,3,0.65,Low
S172,22,Other,Business,3.3,6,77.4,0.83,Leave,4,82,0.91,11,0.5,Medium
S173,20,Male,Engineering,3.29,3,86.3,0.81,Active,24,27,0.75,4,0.92,Medium
S174,21,Other,Engineering,3.12,4,77.5,0.84,Graduated,36,30,0.94,16,0.54,Medium
S175,25,Other,Computer Science,3.55,6,71.1,0.75,Active,33,81,0.94,5,0.82,Medium
S176,23,Male,Business,2.41,6,82.3,0.92,Graduated,8,83,0.51,9,0.75,High
S177,20,Other,Engineering,3.45,5,73.9,0.81,Graduated,5,60,0.69,17,0.76,Medium
S178,20,Female,Arts,3.24,3,97.3,0.65,Leave,17,50,0.76,9,0.96,High
S179,18,Other,Engineering,3.79,3,96.9,0.65,Leave,13,33,0.84,5,0.52,High
S180,20,Female,Computer Science,3.69,4,80.1,0.81,Leave,18,33,0.64,5,0.89,Medium
S181,22,Female,Arts,2.63,5,73.1,0.97,Leave,13,47,0.63,19,0.53,Medium
S182,24,Other,Computer Science,2.55,5,89.5,0.72,Active,39,53,0.69,14,0.52,High
S183,23,Male,Engineering,3.96,6,61.5,0.95,Leave,16,66,0.75,3,0.71,Low
S184,20,Female,Arts,3.05,6,79.0,0.91,Active,34,68,0.98,15,0.53,Low
S185,18,Male,Business,3.81,6,73.5,0.7,Leave,28,43,0.88,7,0.89,High
S186,22,Female,Business,2.33,4,96.8,0.61,Leave,16,84,0.71,6,0.76,High
S187,19,Other,Arts,3.29,4,60.5,0.64,Graduated,7,32,0.53,18,0.51,High
S188,24,Other,Arts,3.62,6,82.1,0.89,Active,0,52,0.58,16,0.52,Low
S189,24,Female,Computer Science,3.89,5,89.6,0.68,Graduated,35,49,0.73,12,0.81,High
S190,23,Other,Arts,2.67,4,79.4,0.75,Leave,6,56,0.91,14,0.9,Medium
S191,24,Female,Computer Science,3.45,5,63.4,0.8,Active,4,50,0.69,1,0.72,Medium
S192,20,Other,Engineering,3.08,5,98.9,0.89,Leave,23,56,0.77,9,0.78,Low
S193,18,Male,Computer Science,2.12,3,80.7,0.65,Graduated,27,29,0.95,12,0.9,High
S194,24,Other,Arts,3.38,6,84.6,0.76,Active,16,86,0.96,17,0.81,Medium
S195,24,Male,Arts,3.38,3,69.5,0.79,Graduated,36,74,0.61,10,0.61,Medium
S196,19,Other,Engineering,3.86,6,79.3,0.82,Leave,19,77,0.52,12,0.81,Medium
S197,19,Male,Arts,2.99,6,77.2,0.93,Leave,2,33,0.65,18,0.81,Medium
S198,21,Other,Arts,2.46,5,63.0,0.67,Leave,36,45,0.85,4,0.87,High
S199,22,Male,Business,2.09,6,64.2,0.92,Active,25,54,0.98,2,0.81,High
S200,20,Female,Business,2.83,5,93.5,0.88,Graduated,14,11,0.54,18,0.98,Medium
S201,24,Female,Engineering,2.6,5,69.6,0.82,Graduated,7,37,0.51,12,0.6,Medium
S202,25,Male,Computer Science,3.52,6,67.8,0.88,Leave,12,35,0.94,4,0.98,Low
S203,24,Other,Business,2.71,5,80.2,0.76,Graduated,2,32,0.87,11,0.77,Medium
S204,18,Male,Computer Science,3.9,5,90.7,0.66,Active,0,88,1.0,13,0.84,High
S205,21,Other,Arts,3.92,5,62.5,0.87,Leave,8,45,0.7,5,0.55,Low
S206,22,Female,Business,3.24,4,83.1,0.81,Leave,30,15,0.71,8,0.69,Medium
S207,25,Other,Engineering,3.86,5,64.8,0.86,Leave,25,44,0.59,16,0.88,Low
S208,21,Female,Engineering,3.52,4,61.5,0.74,Active,16,47,0.56,7,0.85,High
S209,23,Other,Engineering,3.09,4,62.1,0.96,Leave,33,44,0.79,12,0.52,Low
S210,22,Other,Business,2.36,5,93.4,0.83,Leave,8,83,0.68,4,0.77,High
S211,24,Other,Computer Science,2.92,5,64.7,0.63,Leave,12,62,0.54,16,0.54,High
S212,24,Male,Arts,3.12,4,61.8,0.78,Leave,4,47,0.94,2,1.0,Medium
S213,22,Male,Computer Science,3.73,4,77.5,0.9,Graduated,12,68,0.6,5,0.95,Low
S214,24,Female,Computer Science,2.96,5,93.8,0.92,Leave,0,52,0.87,13,0.51,Medium
S215,20,Female,Arts,3.8,5,70.5,0.8,Active,24,13,0.64,14,0.93,Medium
S216,22,Male,Arts,3.35,6,76.9,0.96,Leave,3,14,0.91,13,0.96,Low
S217,21,Female,Business,2.27,4,61.6,0.71,Leave,35,77,0.56,10,0.68,High
S218,22,Male,Business,3.99,4,78.0,0.76,Graduated,9,54,0.88,10,0.86,Medium
S219,25,Other,Business,3.05,6,83.1,0.96,Leave,27,89,0.55,8,0.72,Low
S220,24,Female,Business,2.78,4,82.8,0.96,Graduated,5,34,0.72,5,0.83,Medium
S221,20,Female,Business,3.32,3,73.3,0.87,Active,26,87,0.87,14,0.67,Low
S222,20,Male,Arts,2.22,4,72.6,0.94,Graduated,11,20,0.59,11,0.66,High
S223,23,Female,Computer Science,3.27,6,64.3,0.64,Leave,2,38,0.64,5,0.71,High
S224,21,Female,Business,3.0,3,74.7,0.95,Active,32,43,0.93,0,0.57,Low
S225,19,Other,Business,2.81,5,64.0,0.73,Leave,9,23,0.94,15,0.92,High
S226,19,Female,Computer Science,3.91,6,90.7,0.67,Graduated,30,33,0.52,19,0.67,High
S227,22,Other,Business,3.05,6,98.7,0.7,Active,14,68,0.58,14,0.7,High
S228,23,Male,Computer Science,2.44,5,98.8,0.77,Active,6,48,0.56,1,0.95,High
S229,18,Female,Computer Science,2.92,6,94.6,0.7,Graduated,35,35,0.59,16,0.75,High
S230,22,Other,Arts,3.84,4,84.0,0.73,Graduated,13,52,0.99,2,0.77,High
S231,23,Male,Engineering,2.35,5,88.0,0.65,Active,13,45,0.78,2,0.98,High
S232,21,Female,Arts,2.43,6,71.4,0.72,Active,2,48,0.73,4,0.94,High
S233,21,Male,Engineering,2.03,5,85.2,0.83,Graduated,2,70,0.99,16,0.58,High
S234,21,Female,Engineering,2.03,5,78.2,0.78,Leave,21,25,0.78,16,0.74,High
S235,21,Male,Engineering,3.66,5,79.3,0.74,Active,18,68,0.83,19,0.99,High
S236,21,Male,Business,3.46,3,90.3,0.9,Graduated,34,15,0.67,5,0.69,Low
S237,23,Other,Arts,2.71,6,71.3,0.96,Leave,11,65,0.69,0,0.69,Medium
S238,23,Male,Engineering,3.4,3,72.7,0.9,Active,4,17,0.8,6,0.6,Low
S239,20,Female,Computer Science,2.79,6,97.0,0.73,Active,9,36,0.53,14,0.56,High
S240,25,Female,Business,3.91,4,62.2,0.9,Graduated,32,80,0.63,6,0.87,Low
S241,19,Other,Arts,3.93,4,79.4,0.66,Leave,12,36,0.6,18,0.89,High
S242,24,Female,Engineering,2.79,4,96.5,0.65,Active,34,55,0.51,19,0.98,High
S243,21,Female,Computer Science,3.71,6,84.4,0.74,Leave,31,50,0.77,10,0.89,High
S244,18,Female,Arts,3.55,5,81.9,0.92,Leave,10,88,0.78,13,0.62,Low
S245,24,Male,Arts,2.62,5,70.0,0.7,Active,37,34,0.69,12,0.52,High
S246,23,Male,Business,2.46,3,73.7,0.63,Leave,23,27,0.63,19,0.99,High
S247,18,Female,Arts,2.92,3,94.1,0.65,Active,34,21,0.83,8,0.67,High
S248,18,Other,Business,3.56,4,82.4,0.94,Leave,18,60,0.57,8,0.66,Low
S249,18,Male,Engineering,3.92,3,80.6,0.85,Active,5,48,0.76,15,0.95,Low
S250,20,Other,Business,3.53,6,64.0,0.7,Graduated,39,19,0.88,11,0.79,High
S251,23,Female,Computer Science,3.71,6,60.6,0.82,Active,34,83,0.58,9,0.61,Medium
S252,18,Female,Business,3.21,3,98.5,0.81,Active,3,86,0.88,5,0.94,Medium
S253,21,Male,Computer Science,3.67,3,75.1,0.86,Active,32,63,0.88,17,1.0,Low
S254,22,Female,Business,3.57,3,84.1,0.69,Leave,12,38,0.53,1,0.54,High
S255,18,Male,Arts,2.75,3,63.2,0.95,Graduated,35,50,0.51,19,0.93,Medium
S256,20,Female,Engineering,3.1,4,87.3,0.72,Leave,18,18,0.99,8,0.7,High
S257,24,Female,Computer Science,3.61,4,97.3,0.88,Leave,11,72,0.6,18,0.76,Low
S258,23,Male,Business,2.09,3,83.0,0.61,Active,10,86,0.91,5,0.96,High
S259,25,Male,Business,3.62,6,65.0,0.75,Leave,5,46,0.78,1,0.99,Medium
S260,20,Male,Business,2.36,4,83.3,0.74,Active,11,23,0.63,14,0.63,High
S261,18,Female,Arts,3.03,6,90.7,0.82,Graduated,26,82,0.56,16,0.61,Medium
S262,23,Female,Arts,3.62,5,76.3,0.63,Leave,24,81,0.75,15,0.54,High
S263,22,Other,Computer Science,2.51,6,95.2,0.92,Leave,2,48,0.7,7,0.78,Medium
S264,18,Male,Computer Science,2.49,3,85.9,0.69,Leave,2,49,0.85,9,0.51,High
S265,20,Female,Arts,2.81,5,96.0,0.87,Active,19,63,0.95,9,0.71,Medium
S266,19,Female,Computer Science,3.79,4,84.9,0.92,Active,27,12,0.9,17,0.54,Low
S267,21,Male,Engineering,2.0,4,65.3,0.82,Leave,22,64,0.64,9,0.7,High
S268,25,Other,Engineering,3.8,5,72.4,0.9,Leave,2,42,0.94,8,0.52,Low
S269,24,Male,Arts,2.31,6,68.1,0.86,Graduated,23,80,0.92,18,0.92,High
S270,20,Other,Computer Science,3.98,4,96.4,0.74,Graduated,39,28,0.96,0,0.6,High
S271,23,Female,Business,3.91,3,90.4,0.92,Graduated,5,43,0.73,3,0.66,Low
S272,25,Other,Engineering,2.99,5,87.1,0.72,Graduated,19,87,0.88,2,0.94,High
S273,25,Female,Arts,3.03,3,72.0,0.83,Graduated,10,59,0.8,9,0.87,Medium
S274,25,Male,Computer Science,2.96,5,67.4,0.9,Active,31,56,0.66,11,0.61,Medium
S275,18,Male,Arts,3.27,4,90.3,0.75,Graduated,26,55,1.0,17,0.54,Medium
S276,21,Male,Business,2.18,6,79.0,0.72,Graduated,20,65,0.52,19,0.86,High
S277,18,Other,Engineering,2.07,5,69.0,0.78,Leave,12,66,0.58,5,0.7,High
S278,23,Female,Arts,2.12,5,84.7,0.93,Active,21,60,0.95,1,0.88,High
S279,18,Male,Arts,2.89,3,61.6,0.97,Graduated,34,63,0.53,9,0.72,Medium
S280,19,Male,Arts,2.55,4,73.0,0.82,Graduated,21,37,0.94,1,0.67,Medium
S281,21,Female,Business,3.24,3,78.7,0.86,Graduated,27,28,0.86,8,0.73,Low
S282,21,Male,Arts,3.98,4,65.9,0.96,Leave,20,36,0.52,9,0.87,Low
S283,23,Female,Business,2.77,3,99.4,0.64,Leave,17,57,0.71,1,0.95,High
S284,24,Female,Business,3.15,5,68.4,0.69,Leave,30,28,0.88,7,0.52,High
S285,19,Female,Business,2.83,3,65.2,0.88,Graduated,36,60,0.79,16,0.76,Medium
S286,20,Female,Engineering,3.69,6,68.1,0.93,Leave,20,16,0.97,16,0.52,Low
S287,18,Female,Engineering,3.8,4,90.8,0.94,Graduated,13,38,0.93,3,0.73,Low
S288,22,Other,Arts,3.75,4,77.0,0.77,Active,24,52,0.67,17,0.94,Medium
S289,18,Male,Arts,3.95,5,82.6,0.64,Graduated,26,78,0.54,11,0.68,High
S290,25,Other,Engineering,2.06,4,60.8,0.78,Leave,39,67,0.97,16,0.97,High
S291,18,Male,Computer Science,3.68,6,61.4,0.69,Active,22,17,0.76,8,0.82,High
S292,20,Other,Engineering,3.5,3,77.8,0.72,Graduated,30,51,0.54,18,0.97,High
